id,brand,name,year,price,Город,"Объем двигателя, л",Кузов,Пробег,Коробка передач,Цвет,Привод,Есть доставка
1210899,Hyundai,Starex,2001,7000,Самарканд,2.4 (дизель),микроавтобус,17000.0,механика,золотистый,задний привод,
1210897,Chevrolet,"Matiz,",2010,3800,Ташкент,0.8 (бензин),хэтчбек,185000.0,механика,,передний привод,
1210893,ВАЗ (Lada),2107,1983,1800,Самарканд,,,111111.0,механика,бордовый,,
1210879,Fiat,Barchetta,1994,700,Ташкент,1.5 (газ),седан,,механика,жёлтый,задний привод,
1210856,Chevrolet,"Cobalt,",2018,9600,Ташкент,1.5 (бензин),седан,20000.0,автомат,голубой,передний привод,
1183216,Chevrolet,"Lacetti,",2009,6600,Ангрен,1.8 (бензин),седан,300000.0,автомат,черный,передний привод,
1210861,Daewoo,Nexia,2009,5600,Карши,,седан,121.0,механика,золотистый,передний привод,
1210880,Daewoo,Nexia,2001,4823,Шурчинский район,,седан,50000.0,механика,серый,передний привод,
1210874,Daewoo,Matiz Best,2006,3500,Ташкент,,,,механика,белый,,
1210876,ВАЗ (Lada),2106,1985,2300,Паркентский район,1.6 (бензин),седан,,механика,зеленый,,
1105103,ВАЗ (Lada),2106,1989,2200,Джизак,,,,механика,молочный цвет,задний привод,
1183212,Daewoo,Matiz Best,2009,5000,Ташкент,,седан,,механика,белый,передний привод,
1188804,Chevrolet,"Spark,",2016,6200,Ташкент,1.25 (бензин),седан,86000.0,механика,мокрый асфальт,передний привод,
1183182,Chevrolet,"Lacetti,",2020,11300,Ташкент,1.5 (бензин),седан,5560.0,механика,белый,передний привод,
1183168,Chevrolet,"Spark,",2015,6300,Ташкент,1.25 (бензин),хэтчбек,31000.0,механика,дельфин,передний привод,
1183179,ВАЗ (Lada),2106,1986,2894,Ханкинский район,,седан,86898.0,механика,белый,,
1183167,ВАЗ (Lada),2102,1976,1666,Самарканд,,седан,6666.0,механика,,,
1183156,ГАЗ,31029 (Волга),1993,1000,Навои,,,,механика,черный,,
1210486,Daewoo,Tico,2000,2122,Навои,3.2 (бензин),седан,3000000.0,механика,белый,передний привод,
1210863,Chevrolet,"Spark,",2020,7718,Нукус,1.3 (газ-бензин),хэтчбек,,механика,белый,передний привод,
